A10	auto-estrada 10
CEOE	Confederação Espanhola das Organizações Empresariais
CEOE	Confederação Espanhola de Organizações Empresariais
CEOM	Conselho Europeu das Ordens dos Médicos
CEOP	Centro de Protecção contra a Exploração Infantil Online
CEPAAL	Centro de Estudos e Promoção dos Azeites do Alentejo
Cepac	Centro Padre Alves Correia
CEPAC	Centro Padre Alves Correia
CEPA	Clube de Empresários portugueses de Andorra
CEPAL	Comissão Económica para a América Latina e as Caraíbas
Cepal	Comissão Económica para a América Latina e Caraíbas
CEPAL	Comissão Económica para a América Latina e Caraíbas
CEPAL	Comissão Económica para a América Latina e Caribe
CEPCD	Centro Europeu de Prevenção e Controlo de Doenças
CEPCD	Centro Europeu para a Prevenção e Controlo de Doenças
CEP	Centro de Política Europeia
CEP	Código de Execução de Penas
CEP	Companhia Espacial Portuguesa
CEP	Confederação de Empresários de Pontevedra
CEP	Confederação Empresarial de Portugal
CEP	Confederação rial de Pontevedra
CEP	Confederação rial de Portugal
CEP	Conferência Episcopal Portuguesa
CEP	Conselho Empresarial de Portugal
CEP	Conselho rial de Portugal
CEPE	Centro de Educação Pré-Escolar
CEPE	Comissão Estatal de Planeamento Económico
CEPE	Conselho Europeu de Indústrias de Pintura
CEPEJ	Comissão Europeia para a Eficácia da Justiça
CEPEJ	Comissão Europeia para a Eficiência da Justiça
CEPES	Centro de Estudos Políticos Económicos e Sociais
CEPI	Centro de Educação e Protecção para a Infância
CEPR	Center for Economic Policy Research
CEPS	Centre for European Policy Studies
CEPS	Comissão Episcopal de Pastoral Social
CER	Casa da Europa do Ribatejo
CERC	Centro Emissor para a Rede Consular
CERC	comissão parlamentar eventual de revisão da Constituição
CERC	Cooperativas de Educação e Reabilitação de Cidadãos Inadaptados
CER	Certificados de Redução de Emissões
Cerci	Cooperativa de Educação e Reabilitação de Crianças
CERCI	Cooperativa de Educação e Reabilitação de Crianças Inadaptadas
Cerci	Cooperativas de Educação e Reabilitação de Crianças Inadaptadas
CERCI	Cooperativas de Educação e Reabilitação de Crianças Inadaptadas
Cercis	cooperativas de apoio a deficientes
CER	Coeficiente de Estabilização de Referência
CERP	Comissão Eventual de Reforma do Sistema Político
CERS	Comité Europeu de Reguladores
CERS	Comité Europeu de s Sistémicos
CERS	Comité Europeu do Sistémico
CERSP	comissão eventual de reforma do sistema político
CERSP	Comissão Eventual para a Reforma do Sistema Político
CERSP	Comissão Eventual Para a Reforma do Sistema Político
CERTIC	Centro de Engenharia de Reabilitação em Tecnologias de Informação e Comunicação
Certiel	Certificadora das Instalações Elétricas
CERUP	Centro de Estudos de Risco da Universidade do Porto
Cerutil	cerâmica utilitária
CESAM	Centro de Estudos do Ambiente e do Mar
CESB	Comité Europeu de Supervisão Bancária
CES	"Cadernos de Estudos Sefarditas"
CES	Centro de Estudos Fiscais
CES	Centro de Estudos Sociais
CES	Complemento Extraordinário de Solidariedade
CES	Confederação Europeia de Sindicatos
CES	Confederação europeia dos sindicatos
CES	Confederação Europeia dos Sindicatos
CES	Conselho Económico e Social
CES	Conselho Económico Social
CES	Consumer Electronics Show
CESD	Cartão Europeu de Seguro de Saúde
CESE	Comité Económico e Social Europeu
CESGA	Centro de Supercomputação da Galiza
Cesis	Centro de Estudos para a Intervenção Social
CESM	Confederação Estatal de Sindicatos Médicos
Cesnorte	comércio e serviços do Norte
CESOP	Centro de Estudos e Sondagens de Opinião
CESOP	Centro de Estudos e Sondagens de Opiniões
CESOP	Centro de Sondagens e Estudos de Opinião
CESOP	Centro de Sondagens e Estudos de Opinião da Universidade Católica
CESP	Centro de Estudos Sócio-Pastorais
CESP	Comércio Escritórios e Serviços de Portugal
CESP	Conselho Europeu de Sindicatos de Polícia
CESP	Conselho Europeu dos Sindicatos de Polícia
CESP	Conselho Superior de Sindicatos de Polícia
CESPU	Cooperativa de Ensino Superior Politécnico e Universitário
CESR	Comissão Europeia solicitou ao Comité Europeu de Reguladores
cessante	com responsáveis das duas listas e com o presidente
Cessna	Carneiro e Amaro da Costa foram assassinados
CEST	Conselho Europeu de Segurança nos Transportes
CEST	Conselho Europeu para a Segurança nos Transportes
CESUR	Centro de Sistemas Urbanos e Regionais
CET	Centro de Exames de Tábua
CET	com execução suspensa por três anos
CET	Companhia de Engenharia de Tráfego
CET	cursos de especialização tecnológica
CET	Cursos de Especialização Tecnológica
Cetesb	Companhia de Tecnologia de Saneamento Ambiental
CEUL	Cooperativa de Ensino da Universidade Lusíada
CEUL	Cooperativa de Ensino Universidade Lusíada
CEVAL	Conselho rial dos Vales do Lima e Minho
CEVDI	Centro de Estudos de Vectores e Doenças Infecciosas
Ceza	Companhia Eléctrica do Zambeze
CFAD	Centro de Formação Assistência e Desenvolvimento
CFAE	Centros de Formação de Associações de Escolas
CFAE's	Centros de Formação das Associações de Escolas
CFC	clorofluorcarbonetos
CFC	clorofluorcarbonos
CFC	clorofluorocarbonos
CFCE	Comissão de Fiscalização dos Centros Educativos
CFCM	Conselho Francês do Culto Muçulmano
CF	conselho de fiscalização
CFC's	clorofluorcarbonetos
CFCs	clorofluorcarbonetos
CFDT	Confederação Francesa Democrática do Trabalho
CFE	Centros de Formalidades de Empresas
CFF	Caminhos de Ferro Federais
CFJD	Centro de Formação João de Deus
CFL	Caminhos-de-Ferro Luxemburgueses
CFMTFA	Centro de Formação Militar e Técnica da Força Aérea
CFP	Conselho de Finanças Públicas
CFPME	Centro de Formação e Apoio ao Empresário
CFPSA	Centro de Formação Profissional do Sector Alimentar
CFSIRP	Conselho de Fiscalização do Serviço de Informações da República Portuguesa
CFSIRP	Conselho de Fiscalização dos Serviços de Informação da República Portuguesa
CFSIRP	Conselho de Fiscalização dos Serviços de Informações da República Portuguesa
CFSIRP	Conselho e Fiscalização dos Serviços de Informações da República Portuguesas
CFTC	com a Futures Trading Commission
CFTF	Companhia de Fiação e Tecidos do Ferro
CFVTE-R	Comissão de Familiares das Vítimas da Tragédia de Entre-os-Rios
CFVTER	Comissão de Familiares das Vítimas da Tragédia de Entre-os-Rios
CGA	Caixa Geral de Aposentação
CGA	Caixa Geral de Aposentações
CG	Casa do Gaiato
CGC	Capital Group Companies
CGC	Célula de Gestão de Crises
CGC	Centro de Genética Clínica
CG	conselho de gerência
CG	conselho geral
CG	Conselho Geral
CGD/BES	Caixa Geral de s/Banco Espírito Santo
CGD	Caixa Geral de
CGD	Caixa Geral de Depósito
CGD	Caixa geral de Depósitos
CGD	Caixa Geral de depósitos
CGD	Caixa Geral de Depósitos
CGD	Caixa Geral de s
CGD	Caixa-Geral de s
CGD	Caixa Geral dos Depósitos
CGD	Caixa Geral dos s
CGD	Center for Global Development
CGD	cimenteira gerida por Bayão Horta
CGDSS	Comissão Global sobre os Determinantes Socais da Saúde
CGE/2006	Conta Geral do Estado de 2006
CGE	Centro de Geofísica de Évora
CGE	Compagnie Générale des Eaux
CGE	Companhia Geral das Águas
CGE	Conta Geral de Estado
CGE	Conta Geral do Estado
CGES	Center for Global Energy Studies
CGES	Centre for Global Energy Studies
CGIL	Confederação Geral dos Trabalhadores Italianos
CGIL	Confederação Geral Italiana do Trabalho
CGLU	Cidades e Governos Locais Unidos
CGM	Confraria de Gastrónomos do Minho
CGP	Caixa Geral de Depósitos
CGPJ	Conselho Geral do Poder Judicial
CGS	Conselho de Gestão e Supervisão
CGS	conselho geral de supervisão
CGS	conselho geral e de supervisão
CGS	Conselho Geral e de Supervisão
CGSILA	Central Geral de Sindicatos Independentes e Livres de Angola
CGT	Confederação Geral de Trabalhadores
CGT	Confederação Geral do Trabalho
CGT	Conselho Geral Transitório
CGTP	Código Contributivo da Segurança Social aos parceiros sociais
CGTP	Confederação Geral de Trabalhadores Portugueses
CGTP	Confederação-Geral de Trabalhadores Portugueses
CGTP	Confederação Geral dos Trabalhadores Portuguesas
CGTP	Confederação geral dos Trabalhadores Portugueses
CGTP	Confederação Geral dos Trabalhadores Portugueses
CGTP	Confederação-Geral dos Trabalhadores Portugueses
CGTP	Confederação Geral dos Trabalhores Portugueses
CGTP	Confederação Geral do Trabalhadores Portugueses
CGTP-IN	Confederação Geral dos Trabalhadores Portugueses - Intersindical
CGTP-IN	Confederação Geral dos Trabalhadores Portugueses-Intersindical
CGTP-IN	Confederação Geral dos Trabalhadores Portugueses-Intersindical Nacional
CHAA	Centro Hospitalar do Alto Ave
CHAIA	Centro de História de Arte e Investigação Artística
CHAM	Centro Hospitalar do Alto Minho
CHAM	Centro Hospitalar do Alto-Minho
CHBA	Centro Hospitalar do Baixo Alentejo
CHBA	Centro Hospitalar do Barlavento Algarvio
CHBI	Centro Hospitalar da Beira Interior
CHCB	Centro Hospitalar da Cova da Beira
CHC	Centro Hospitalar de Cascais
CHC	Centro Hospitalar de Coimbra
CHC	Centro Hospital de Coimbra
CHC-EPE	conselho de administração do Centro Hospitalar de Coimbra
CHCL	Centro Hospitalar de Lisboa Central
CHCR	Centro Hospitalar das Caldas da Rainha
CHE	Centro Histórico de Évora
CHEPS	Center for Higher Education Policy Studies
CHF	Centro Hospitalar do Funchal
CHG	Centro Hospitalar de Gaia
CHG	Confederação Hidrográfica do Guadiana
CHLC	Centro Hospitalar de Lisboa Central
CHLC	Centro Hospitalar Lisboa Central
CHL	Centro Hospitalar de Lisboa
CHL	Centro Hospital de Lisboa
CHLN	Centro Hospitalar de Lisboa Norte
CHLN	Centro Hospitalar Lisboa Norte
CHLO	Centro Hospitalar de Lisboa Ocidental
CHLO	Centro Hospitalar Lisboa Ocidental
CHMT	Centro Hospitalar do Médio Tejo
CHMT	Centro Hospitalar do Médio-Tejo
CHN	Centro de Histocompatibilidade do Norte
CHN	Centro Hospitalar do Nordeste
Chne	Centro Hospitalar do Nordeste
CHNE	Centro Hospitalar do Nordeste
CHNE	centro hospital do Nordeste
CHNE	Centro Hospital do Nordeste
CHNM	Código Hospitalar Nacional do Medicamento
CHNT	Centro Hospitalar do Nordeste Transmontano
CHOU	Complexo Hospitalar de Ourense
CHPC	Centro Hospitalar Psiquiátrico de Coimbra
CHP	Centro Hospitalar do Porto
CHP	Comunidade Hindu de Portugal
CHPL	Centro Hospitalar Psiquiátrico de Lisboa
CHS	Centro Hospitalar de Coimbra
CHT	conselho geral transitório
CHTMAD	Centro Hospitalar de Trás-os-Montes e Alto Douro
CHTS	Centro Hospitalar do Tâmega e Sousa
CHTV	Centro Hospitalar de Torres Vedras
CHU	centro hospitalar universitário
CHUL	Centro de História da Universidade de Lisboa
CHVNG	Centro Hospitalar de Vila Nova de Gaia
CIAC	Centros de Informação aos Consumidores
CIA	Central de Informações
CIA	Confederação Italiana Agrícola
CIAIAC	Comissão de Investigação de Acidentes e Incidentes de Aviação Civil
CIAM	Comissão Interministerial para os Assuntos do Mar
CIAPI	Comissão Instaladora da Associação Portuguesa de Infertilidade
CIAV	Centro de Informação Antivenenos
CIAV	Centro de Informações Antiveneno
CIB	Centro de Informação de Biotecnologia
CIBE	Cadastro do Inventário dos Bens do Estado
CIBIO	Centro de Investigação e Biodiversidade e Recursos Genéticos
Cibio	Centro de Investigação em Biodiversidade e Recursos Genéticos
CIBIO	Centro de Investigação em Biodiversidade e Recursos Genéticos
CICAP	Centro de Instrução de Condutores-Auto do Porto
CIC	Campanha Internacional da Cortiça
CIC	Centro de Investigação Comum
CIC	Centro de Terapêutica Continuada
CIC	China Investment Corporation
CIC	Cinema International Corporation
CICDR	Comissão para a Igualdade e Contra a Discriminação Racial
CI	Comercial Imobiliária
CI	comissão de inquérito
CI	Comissão de Inquérito
CI	Comité de
CI	Comité de Investimentos
CI	Comité de s
CI	Comunidades Intermunicipais
CI	Confidencial Imobiliário
CI	Consumers International
CI	Corpo de Intervenção
CICPC	Científicas Penais e Criminalísticas
CICR	Comité Internacional da Cruz Vermelha
CICTA	Comissão Internacional de Conservação dos Atunídeos do Atlântico
CICV	Comité Internacional da Cruz Vermelha
CIDA	Canadiana para o Desenvolvimento Internacional
CIDAC	Centro de Informação e Documentação Amílcar Cabral
Cidadania	http://cidadanialx.blogspot.com
Cidamb	Cidadania Ambiental
CIDEC	Centro Interdisciplinar de Estudos Económicos
CIDE	Convenção Internacional dos Direitos da Criança
CIDE	Custos de Insularidade e de Desenvolvimento Económico
CIDI	Composite International Diagnostic Interview
CIDM	Comissão para a Igualdade e Direitos da Mulher
CIDM	Comissão para a Igualdade e Direitos da Mulheres
CIDM	Comissão para a Igualdade e Direitos das Mulheres
CIE	Conselho Inter-têxtil espanhol
CIE	Conselho Intertêxtil Espanhol
CIEd	Centro de Investigação em Educação
CIEG	chamados s de Interesse Económico Geral
CIEG	custos de interesse económico geral
CIEM	Conselho Internacional de Exploração do Mar
CIEM	Conselho Internacional para a Exploração do Mar
CIEM	Conselho Internacional para a Exploração dos Mares
CIEP	Confederação Internacional dos Empresários Portugueses
CIES	Centro de Investigação e Estudos de Sociologia
CIES	Centro de Investigação e Estudos em Sociologia
CIEX	Centro de Inactivação de Engenhos Explosivos
CIEXSS	Centro de Inactivação de Engenhos Explosivos e Segurança em Subsolo
CIEXSS	Centro de Inactivação de Explosivos e Segurança em Subsolo
CIF	Classificação Internacional da Funcionalidade
CIF	Classificação Internacional de Funcionalidade
CIF	Classificação Internacional de Funcionalidade e Saúde
CIFOR	Center for International Forestry Research
CIG	Cidadania e a Igualdade de Género
CIG	Cidadania e Igualdade de Género
CIG	Confederação Intersindical Galega
CIG	conferência intergovernamental
CIG	Conferência Intergovernamental
CIG	Conferência Inter-Governamental
CIIE	Centro de Investigação e Intervenção Educativas
CIIMAR	Centro de Investigação Marinha e Ambiental
CIIMAR	Centro Interdisciplinar de Investigação Marinha
CIL	Comissão Internacional de Limites
CIL	Comunidade Islâmica de Lisboa
CIL	Comunidade Israelita de Lisboa
CILPAN	Centro Internacional de Luta contra a Poluição do Atlântico Nordeste
Cilpan	Centro Internacional de Luta Contra a Poluição no Atlântico Nordeste
CIMAL	Comunidade de Intermunicipal do Alentejo Litoral
Cimar	Centro de Investigação Marinha e Ambiental
CIMB	Centro de Informação Mundial sobre a Biodiversidade
CIM	Companhia Industrial do Monapo
CIM	Comunidade Intermunicipal
CIM	Comunidade Intermunicipal do Alto Minho
CIM	Comunidade Intermunicipal do Minho-Lima
Cimpor	cair mais de dois por cento
CIMT	Colégio Internacional de Medicina Tradicional
CINC	Concurso de Ideias de Negócio de Cascais
CIN	Centro Ibérico de Negócios
cinco	como desaparecidas são de nacionalidade britânica
Cinema	cinema
Cineport	Cinema de Países de Língua Portuguesa
CINM	Cento Internacional de Negócios da Madeira
CINM	Centro Internacional de Negócios da Madeira
CIO	Centro de Inspecções de Oeiras
CIOE	Centro de Instrução de Operações Especiais
CIOE	Centro de Instrução e Operações Especiais
CIP	Centro de Integridade Pública
CIP	Condederação da Indústria Portuguesa
CIP	Confederação da Indústria de Portugal
CIP	Confederação da Indústria Portugeusa
CIP	Confederação da Industria Portuguesa
CIP	Confederaçâo da Indústria Portuguesa
CIP	Confederação da indústria Portuguesa
CIP	[Confederação da Indústria Portuguesa
CIP	Confederação da Indústria Portuguesa
CIP	Confederação das Indústrias Portuguesas
CIP	Confederação Empresarial Portuguesa
CIP	Confederação Industrial Portuguesa
CIP	Confederação rial de Portugal
CIP	Confederação rial Portuguesa
CIP	confederações da Indústria Portuguesa
CIP	Confederações da Indústria Portuguesa
CIPD	Chartered Institute of Personnel and Development
Cipes	Centro de Investigação das Políticas do Ensino Superior
CIPES	Centro de Investigação das Políticas do Ensino Superior
Cipes	Centro de Investigação de Políticas do Ensino Superior
CIPES	Centro de Investigação de Políticas do Ensino Superior
Cipr	Comissão Internacional para a protecção do Reno
Cirad	Cooperação Internacional em Investigação Agroalimentar para o Desenvolvimento
CIRC	Centro Internacional de Investigação sobre Cancro
CIRC	Centro Internacional de Investigação sobre o Cancro
CIR	Centro de Informação de Resíduos
CIRC/IARC	Centro Internacional de Pesquisa sobre o Cancro
CIRDD	Comissão Interprofissional da região Demarcada do Douro
CIRDD	Comissão Interprofissional da Região Demarcada do Douro
CIRE	Código da Insolvência e da Recuperação das s
CIRE	Código da Insolvência e da Recuperação de s
CIRE	Código da Insolvência e Recuperação de Empresas
CIRE	Código da Insolvência e Recuperação de s
CIRES	Companhia Industrial de Resinas Sintéticas
CIRP	Conferência dos Institutos Religiosos de Portugal
CIRVER	centros de integração e valorização de resíduos
CISA	Centro de Investigação em Saúde
CISAP	Congresso Internacional da Sida sobre a Ásia/Pacífico
CIS	Casa de Injecção Segura
CISEP	Centro de Investigação sobre Economia Portuguesa
CISL	Confederação Internacional de Sindicatos Livres
CISL	Confederação Internacional dos Sindicatos Livres
CISL	Confederação Italiana dos Sindicatos dos Trabalhadores
CISN	Centro Infantil Santos-o-Novo
CISS	Confederação das Instituições de Solidariedade Social
CIT	centro de instalação temporária
CIT	Centro de Instalação Temporária
CIT	Centros de Instalação Temporária
CIT	certificados de incapacidade temporária
CIT	Contrato Individual de Trabalho
CITES	Comércio Internacional das Espécies Ameaçadas
Cites	Comércio Internacional das Espécies Ameaçadas de Extinção
CITES	Comércio Internacional das Espécies Ameaçadas de Extinção
Cites	Comércio Internacional de Espécies Ameaçadas
CITES	Comércio Internacional de Espécies Ameaçadas
Cites	Comércio Internacional de Espécies Ameaçadas de Extinção
CITES	Comércio Internacional de Espécies Ameaçadas de Flora e de Fauna
CITES	Comércio Internacional de Espécies em Risco de Extinção
CITES	Convenção Internacional de Espécies Ameaçadas de Flora e Fauna Selvagens
CITES	Convenção Internacional sobre Comércio de Espécies Ameaçadas
CITES	Convenção Internacional sobre o de Espécies Ameaçadas
CITES	Convenção sobre o Internacional de Espécies Ameaçadas
Citeve	Centro de Investigação da Indústria Têxtil e do Vestuário
Citeve	Centro Tecnológico da Indústria Têxtil e de Vestuário de Portugal
Citeve	Centro Tecnológico das Indústrias Têxtil e de Vestuário de Portugal
Citeve	Centro Tecnológico das Indústrias Têxtil e do Vestuário
Citeve	Centro Tecnológico das Indústrias Têxtil e do Vestuário de Portugal
CITEVE	Centro Tecnológico das Indústrias Têxtil e do Vestuário de Portugal
CIVA	centros de inspecções de veículos automóveis
CIVA	Código do Imposto sobre o Valor Acrescentado
CIV	centros de inspecção de veículos
CIVISA	Centro de Informação e Vigilância Sismológica dos Açores
CIWF	Compassion in World Farming
CIWF	Compassion In World Farming
CJb	Creutzfeldt-Jakob
CJ	Campus da Justiça
CJ	Clube dos Jornalistas
CJ	Conselho de Jurisdição
CJ	Conselho de Justiça
CJM	Cartão Júnior Municipal
CJN	conselho de jurisdição nacional
CJN	Conselho de Jurisdição Nacional
CLAC	Cidadãos Lisboetas Apoiam António Costa
CLA	Centro Local de Aprendizagem
CLA	Comissão Local de Acompanhamento
CLAI	Centro Local de Apoio ao Imigrante
CLAI	Centros Locais de Apoio ao Imigrante
CLAPA	Comissão de Luta Anti- Poluição do Alviela
CLAPA	Comissão de Luta Anti-Poluição do Alviela
CLAS	Conselhos Locais de Acção Social
CLAWAR	Climbing and Walking Robots
CLB	Comissão do Livro Branco
CLBRL	comissão que elaborou o Livro Branco das Relações Laborais
CLCC	Comissão de Luta Contra a Co-incineração
CLC	Companhia Logística de Combustíveis
CL	Comunhão e Libertação
CLDSA	"Contratos Sociais de Desenvolvimento Social dos Açores
CLDS	contratos locais de desenvolvimento social
CLE/APEL	Comissão do Livro Escolar da Associação Portuguesa de Editores e Livreiros
CLE	Comissão do Livro Escolar
CLH	Companhia Logística de Hidrocarburos
Clipóvoa	clínica da Póvoa de Varzim
CLN	Caldas Late Night
CLN	Centro de Limpeza de Neve
cloro	CDOS diz ser necessário "algum cuidado" no manuseamento deste produto
CLPC	Comissão de Limites de Plataformas Continentais
CLP/IC	Centro de Língua Portuguesa do Instituto Camões
CLR	Comissão da Liberdade Religiosa
CLR	Comissão de Liberdade Religiosa
CLS	Contrato Local de Segurança
CLS	Contratos Locais de Segurança
CLUSTER	Consortium Linking Universities of Science and Technology for Education and Research
CMA	Câmara Municipal da Amadora
CMA	Câmara Municipal de Alcochete
CMA	Câmara Municipal de Almada
CMA	Câmara Municipal de Almeirim
CMA	Centro de Meios Aéreos
CMA	Conselho Mundial da Água
CMA	Credit Market Analysis
CMB	Câmara do Barreiro
CMB	Câmara Municipal de Benavente
CMB	Comissão Mundial de Barragens
CM	Câmara Municipal
CM	Caminho Municipal
CM	Casa da Música
CMC	Câmara Municipal de Cascais
CMC	Câmara Municipal de Coimbra
CMC	Comissão Mista de Coordenação
CMC	Conservatório de Música de Coimbra
CM	Club Mediterranée
CM	Colégio Militar
CM	Conselho de Ministros
CM	"Correio da Manhã"
CM	“Correio da Manhã
CM	Correio da Manhã
CMDFCI	Comissão Municipal de Defesa da Floresta Contra Incêndios
CMDP	Comissão Municipal de Defesa do Património
CME	Câmara Municipal de Évora
CMEC	chamados s de Manutenção de Equilíbrio Contratual
CMEC	contratos de manutenção de equilíbrio contratual
CMEC	Contratos de Manutenção de Equilíbrio Contratual
CMEC	custos de manutenção do equilíbrio contratual
CME	conselhos municipais de educação
CME	Conselhos Municipais de Educação
CME	Construtora e Manutenção Electromecânica
CMEFD	Centro Militar de Educação Física e Desportos
CMF	Câmara Municipal de Felgueiras
CMF	Câmara Municipal do Funchal
CMFI	Comité Monetário e Financeiro Internacional
CMFR	Centro de Medicina Física e de Reabilitação
CMG	Câmara Municipal da Guarda
CMIA	Centro de Monitorização e Interpretação Ambiental
CMI	Centro Materno Infantil
CMI	Centro Materno-Infantil
CMI	Centro Materno-Infantil do Norte
CMID	Comissão para a Igualdade e Direitos da Mulher
CMIN	Centro Materno Infantil do Norte
CMIN	Centro Materno-Infantil do Norte
CML	Câmara de Lisboa
CML	Câmara Municipal de Lisboa
CML	Câmara Municipal de Loures
CML	Council of Mortgage Lenders
CMM	Câmara Municipal do Marco de Canavezes
CMMVM	Comissão do Mercado de Valores Mobiliários
CMN	Conselho Monetário Nacional
CMO	Câmara de Oeiras
CMO	Câmara Municipal de Odemira
CMO	Câmara Municipal de Oeiras
CMO	Câmara Municipal de Olhão
CMOEPC	Centro Municipal de Operações de Emergência da Protecção Civil
CMOH	Câmara Municipal de Oliveira do Hospital
CMP	Câmara Municipal do Porto
CMP	Comando Metropolitano do Porto
CMPM	Comissão Municipal de Protecção de Menores
CMRP	Comunidade dos Muçulmanos Residentes em Portugal
CMRRC	Centro de Medicina de Reabilitação da Região Centro
CMS	Câmara Municipal de Sesimbra
CMS	Câmara Municipal de Setúbal
CMS	Câmara Municipal de Sintra
CMS	Câmara Municipal do Seixal
CMS	Conselho Municipal de Segurança
CMS	Conselho Superior da Magistratura
CMSM	Campo Militar de Santa Margarida
CMT	Câmara Municipal de Tomar
CMT	Comissão de Mercado das Telecomunicações
CMT	Confederação Mundial de Trabalhadores
CMUC	Centro de Matemática da Universidade de Coimbra
CMU	Confederação de Municípios Ultraperiféricos
CMVM	Comisão do Mercado de Valores Mobiliários
CMVM	Comissão de Marcado de Valores Mobiliários
CMVM	Comissão de Mercado de Valores Imobiliários
CMVM	Comissão de Mercado de Valores Mobiliário
CMVM	Comissão de mercado de Valores Mobiliários
CMVM	Comissão de Mercado de valores mobiliários
CMVM	Comissão de Mercado de valores Mobiliários
CMVM	Comissão de Mercado de Valores Mobiliários
CMVM	Comissão de Mercado dos Valores Mobiliarios
CMVM	Comissão de Mercado e Valores Mobiliários
CMVM	Comissão de Mercados de Valores Mobiliários
CMVM	Comissão de Mercados de Valor Imobiliário
CMVM	Comissão de Mercados e Valores Imobiliários
CMVM	Comissão de Mercados e Valores Mobiliários
CMVM	Comissão de Valores Mobiliários
CMVM	Comissão do Marcado e Valores Mobiliários
CMVM	Comissão do Mercado de Valores Imobiliários
CMVM	Comissão do Mercado de Valores Mibiliários
CMVM	Comissão do Mercado de Valores Mobiliárias
CMVM	Comissão do Mercado de Valores Mobiliário
CMVM	comissão do Mercado de Valores Mobiliários
CMVM	Comissão do mercado de Valores Mobiliários
CMVM	Comissão do Mercado de valores Mobiliários
CMVM	Comissão do Mercado de Valores Mobiliários
CMVM	Comissão do Mercado dos Valores Imobiliários
CMVM	Comissão do Mercado dos Valores Mobiliários
CMVM	Comissão do Mercado e Valores Mobiliários
CMVM	Comissão do Mercados de valores Mobiliários
CMVM	Comissão do Mercados de Valores Mobiliários
CMVM	Comissão do Mercados dos Valores Mobiliários
CMVM	Comissão do Mercao de Valores Mobiliários
CMVM	Comissão Mercado Valores Mobiliários
CMVM	Comissão Mobiliária de Valores de Mercado
CMVM	Comissão Nacional de Valores Imobiliários
CMVM	Comissão Nacional do Mercado de Valores Mobiliários
CMVM	Comissão para o Mercado de Valores Mobiliários
CMVM	comunicado divulgado pela Comissão do Mercado de
CMVRA	Câmara Municipal de Vila Real de Santo António
CMVV	Câmara Municipal de Vila Verde
CNA	Caixa Nacional de Aposentações
CNAC	China National Aviation Corporation
CNAC	China National Civil Aviation
CNA	Comissão Nacional das Águas
CNA	Comissão Nacional de Avaliação
CNA	Confederação Nacional da Agricultura
CNA	Confederação Nacional de Agricultores
CNA	Confederação Nacional de Agricultura
CNA	Confederação Nacional dos Agricultores
CNA	Conselho Nacional da Água
CNA	Conselho Nacional de Avaliação
Cnadca	Comissão Nacional para o Desenvolvimento da Cirurgia de Ambulatório
CNADCA	Comissão Nacional para o Desenvolvimento da Cirurgia do Ambulatório
CNADS	Conselho Nacional de Ambiente e Desenvolvimento Sustentável
CNADS	Conselho Nacional do Ambiente e Desenvolvimento Sustentável
CNADS	Conselho Nacional do Ambiente e do Desenvolvimento Sustentável
CNADS	Conselho Nacional para o Ambiente e Desenvolvimento Sustentável
CNADT	Conselho Nacional de Ordenamento e Desenvolvimento do Território
CNAEEBS	Confederação Nacional de Associações de Estudantes do Ensino Básico e Secundário
CNAES	Comissão Nacional de Acesso ao Ensino Superior
CNAES	Comissão Nacional de Acesso do Ensino Superior
CNAES	Conselho Nacional de Avaliação do Ensino Superior
CNAF	Confederação Nacional das Associações da Família
CNAF	Confederação Nacional das Associações de Família
CNAF	Confederação Nacional de Associações de Família
CNAF	Confederação Nacional de Família
CNAI	Centro de Apoio ao Imigrante
CNAI	Centro Nacional de Apoio à Imigração
CNAI	centro nacional de apoio a imigrantes
CNAI	Centro Nacional de Apoio ao Imigrante
CNAI	Centros Nacionais de Apoio ao Imigrante
CNANS	Centro Nacional de Arqueologia Náutica e Subaquática
CNANS	Centro Nacional de Arqueologia Naútica e Subaquática
CNASES	Conselho Nacional para a Acção Social do Ensino Superior
CNASES	Conselho Nacional para a Acção Social Escolar no Ensino Superior
CNASES	Conselho Nacional para a Acção Social no Ensino Superior
CNASTI	Confederação Nacional de Acção Sobre o Trabalho Infanti
Cnasti	Confederação Nacional de Acção Sobre o Trabalho Infantil
CNASTI	Confederação Nacional de Acção sobre o Trabalho Infantil
CNASTI	Confederação Nacional de Acção Sobre o Trabalho Infantil
CNASTI	Confederação Nacional de Acção Sobre Trabalho Infantil
CNASV	Comissão Nacional de Apoio Solidário às Vítimas
Cnaves	Conselho Nacional de Avaliação do Ensino Superior
CNAVES	Conselho Nacional de Avaliação do Ensino Superior
CNAVES	Conselho Nacional para a Avaliação do Ensino Superior
CNBB	Conferência Nacional dos Bispos do Brasil
CNBC	Conferência Nacional dos Bispos Católicos
CNC	Centro Nacional de Cultura
CNC	Concorrência
CNC	Concorrência espanhola
CNC	Conselho Nacional da Caça
CNC	Conselho Nacional de Consumo
CNC	Conselho Nacional de Cultura
CNCCR	Comissão Nacional para as Comemorações do Centenário da República
CNCDC	Centro Nacional de Colecção de Dados em Cardiologia
CNCDT	Conselho Nacional para o Combate à Droga e à Toxicodependência
CNCE	Competência Especializada
CNCJR	Comissão Nacional de Crianças e Jovens em Risco
CN	comissão nacional
CN	Comissão Nacional
CN	Conselho Nacional
CN	Conservatório Nacional
CNCP	Confederação Nacional de Caçadores Portugueses
